Priority,Status,Created,Resolved,Issue key,Issue id,Parent id
Blocker,In Progress,25/Oct/24 11:38,,ADAF-9692,1374164,1351024
Critical,In Progress,11/Oct/24 18:16,,ADAF-9613,1369269,1351024
Critical,New tasks,17/Oct/24 12:32,,ADAF-9647,1371231,1351024
Critical,New tasks,22/Oct/24 12:28,,ADAF-9665,1373090,1351024
Major,In Progress,15/Oct/24 13:51,,ADAF-9622,1370284,1351024
Major,In Progress,18/Oct/24 17:35,,ADAF-9653,1371840,1351024
Major,Reopened,26/Sep/24 18:54,,ADAF-9510,1363825,1351024
Major,Reopened,18/Oct/24 19:21,,ADAF-9654,1371878,1351024
Major,New tasks,09/Oct/24 11:26,,ADAF-9579,1368260,1351024
Major,New tasks,21/Oct/24 16:26,,ADAF-9658,1372771,1351024
Major,New tasks,21/Oct/24 18:31,,ADAF-9659,1372838,1351024
Major,New tasks,23/Oct/24 16:41,,ADAF-9680,1373604,1351024
Medium,In Progress,01/Oct/24 15:37,,ADAF-9543,1365334,1351024
Medium,In Progress,01/Oct/24 17:00,,ADAF-9545,1365424,1351024
Medium,In Progress,24/Oct/24 14:04,,ADAF-9688,1373882,1351024
Medium,Reopened,24/Oct/24 16:11,,ADAF-9690,1373925,1351024
Medium,Preparation,23/Jul/24 14:22,,ADAF-9058,1339013,1351024
Medium,Preparation,27/Sep/24 17:11,,ADAF-9523,1364209,1351024
Medium,Preparation,17/Oct/24 11:28,,ADAF-9646,1371181,1351024
Medium,New tasks,16/Aug/24 11:45,,ADAF-9185,1348434,1351024
Medium,New tasks,04/Oct/24 18:43,,ADAF-9565,1366800,1351024
Medium,New tasks,09/Oct/24 13:54,,ADAF-9583,1368314,1351024
Medium,New tasks,16/Oct/24 11:04,,ADAF-9631,1370677,1351024
Medium,New tasks,23/Oct/24 16:47,,ADAF-9681,1373612,1351024
